time_s,PhaseA_V,PhaseB_V,PhaseC_V,Torque_Nm
0.000000000000000000e+00,-5.460533806940969903e+00,-2.225814737838859969e+02,2.366099543215009930e+02,1.895216939975140069e-01
7.499999999999999343e-05,1.770457912400420053e+00,-2.149840726676259806e+02,2.114106600055879994e+02,6.613236245669990021e-01
1.499999999999999869e-04,9.001449631741799351e+00,-2.073866715513659926e+02,1.862113656896760006e+02,1.750577408434639937e+00
2.249999999999999938e-04,2.864458536188400117e+01,-2.000495421037120138e+02,1.448757874719869960e+02,-8.796892424881379569e-01
2.999999999999999737e-04,6.705983286071639782e+01,-1.947323090374059973e+02,1.195380161835600035e+02,-1.174326837933520107e+00
3.750000000000000078e-04,9.628865411575080202e+01,-2.085973863089060103e+02,1.106636266402960018e+02,-3.685761605814120156e-01
4.499999999999999877e-04,1.067980955486629995e+02,-2.158997057514500000e+02,1.075515855644869987e+02,-5.980879265601349859e-01
5.249999999999999676e-04,1.104307133380820005e+02,-2.108692648690530120e+02,9.991457368168718745e+01,9.567709607602820077e-01
5.999999999999999474e-04,1.186642969631329976e+02,-1.954416284781250113e+02,7.022143972726419747e+01,1.230435930322409943e+00
6.750000000000000357e-04,1.427632436949689918e+02,-2.006241686333819700e+02,3.207603807405409668e+01,-1.655029149250849985e+00
7.500000000000000156e-04,1.798640677040750120e+02,-2.059345969330040020e+02,9.343150222238168823e+00,-3.606487223007500131e-01
8.250000000000001039e-04,2.096581212010109994e+02,-2.156558559108489987e+02,1.691876213142750052e+00,2.213678093219419996e-01
8.999999999999999754e-04,2.152184136311520035e+02,-2.124456919167049875e+02,-1.141591413094110052e+00,4.921619592565070200e-01
9.749999999999999552e-04,2.083154839969610066e+02,-1.884415260158999956e+02,-7.520369326327790205e+00,1.613239877951879953e+00
1.049999999999999935e-03,2.010879786980910069e+02,-1.490416646977060111e+02,-2.509386386451669892e+01,-4.294157529428260234e-01
1.124999999999999915e-03,1.945159544094520072e+02,-1.212657688176559958e+02,-6.130640075552420143e+01,-1.386389872342999929e+00
1.199999999999999895e-03,2.074833654494470068e+02,-1.113255970393319814e+02,-9.489034562117470273e+01,-2.195329429560189949e-01
1.275000000000000092e-03,2.159297062002100063e+02,-1.079850774340700070e+02,-1.061543990253219931e+02,-3.667428800703390057e-01
1.350000000000000071e-03,2.118527021706809990e+02,-1.011389088378739984e+02,-1.103641235672699992e+02,7.216763686531569855e-01
1.425000000000000051e-03,1.959611224797810110e+02,-7.407550606763378198e+01,-1.165425642400550004e+02,1.784051456407820035e+00
1.500000000000000031e-03,1.995992206719670037e+02,-3.611590984987609687e+01,-1.396708019733470110e+02,-1.475210230349599971e+00
1.575000000000000011e-03,2.054680201272419993e+02,-1.086785641490340026e+01,-1.768043525794379889e+02,-5.919207948271080211e-01
1.650000000000000208e-03,2.150199807623249910e+02,-2.470373014262780220e+00,-2.071867894582150029e+02,-1.093946155596930026e-03
1.724999999999999971e-03,2.141712429248240142e+02,8.651235696562530331e-01,-2.161161769027820014e+02,-9.249394766290429740e-03
1.799999999999999951e-03,1.917659428137930036e+02,6.386885825840529662e+00,-2.087400974110240099e+02,1.776981858543080106e+00
1.874999999999999931e-03,1.523113540318109926e+02,2.239295138193280010e+01,-2.008409053257350081e+02,-8.817895867133730692e-02
1.949999999999999910e-03,1.232122552267339870e+02,5.741364074333159806e+01,-1.945141144444379790e+02,-1.564375663879209899e+00
